CODIGO SKU;PRODUCTO;MARCA;SERIE;PRECIO DE VENTA;STOCK INICIAL;ENTRADAS;SALIDAS;STOCK VIGENTE;CONTADOS
RYG-ABR-0001;ABRAZADERA DORADITA;ESTÁNDAR;S/N;0.5;300;0;0;300;NO CONTADO
RYG-ABR-0002;ABRAZADERA GRANDE;ESTÁNDAR;S/N;2;1800;100;0;1900;NO CONTADO
RYG-ABR-0003;ABRAZADERA MEDIANO;ESTÁNDAR;S/N;2;200;500;0;700;NO CONTADO
RYG-ABR-0004;ABRAZADERA PEQUEÑO;ESTÁNDAR;S/N;2;1400;200;0;1600;NO CONTADO
RYG-ACO-0001;ACOPLES DE TOMA DE CARGA ESPECIAL;ESTÁNDAR;S/N;40;33;0;6;27;NO CONTADO
RYG-ADP-0001;ADAPTADOR DE AGUA GNV : 5/8;S/N;S/N;25;135;0;14;121;NO CONTADO
RYG-ADP-0002;ADAPTADOR DE AGUA GNV: 3/4;ESTÁNDAR;S/N;25;53;0;5;48;NO CONTADO
RYG-BAS-0001;BASE EN L;;;150;0;0;0;0;NO CONTADO
RYG-BOB-0001;BOBINA DE ENCENDIDO;4E NUEVA;90919-02226- IH-20034;130;2;0;0;2;NO CONTADO
RYG-BOB-0002;BOBINA DE ENCENDIDO;TOYOTA AVANZA MODERNO(2010 AL 2016);90919-C2004/ JK099700-2580;130;7;0;4;3;NO CONTADO
RYG-BOB-0003;BOBINA DE ENCENDIDO;CHEVROLET CRAKER;DQG3403AW;130;2;0;0;2;NO CONTADO
RYG-BOB-0004;BOBINA DE ENCENDIDO;CHEVROLET SAIL MODERNO;WL03-0277;130;5;0;0;5;NO CONTADO
RYG-BOB-0005;BOBINA DE ENCENDIDO;BRILLANCE;WL03-0076/250963;130;0;10;5;5;NO CONTADO
RYG-BOB-0006;BOBINA DE ENCENDIDO;CHANA DON-FEN;DQG3128;130;4;0;0;4;NO CONTADO
RYG-BOB-0007;BOBINA DE ENCENDIDO;CHANGAN N90;IMP-32181;130;8;0;1;7;NO CONTADO
RYG-BOB-0008;BOBINA DE ENCENDIDO;CHANGUE;WL03-0072;130;6;0;0;6;NO CONTADO
RYG-BOB-0009;BOBINA DE ENCENDIDO;CHERY QQ;IMP-08123;130;1;0;0;1;NO CONTADO
RYG-BOB-0010;BOBINA DE ENCENDIDO;CHEVROLET PRISMA;12669351;130;4;0;0;4;NO CONTADO
RYG-BOB-0011;BOBINA DE ENCENDIDO;CHEVROLET SONIC/ CRACKER;25186687- Wl03-0245;420;1;0;0;1;NO CONTADO
RYG-BOB-0012;BOBINA DE ENCENDIDO;CHEVROLET SPARK 3CC;WL03-0195;130;1;0;0;1;NO CONTADO
RYG-BOB-0013;BOBINA DE ENCENDIDO;DAEWOO TICCO;96320818 / IH-21036;38;6;0;1;5;NO CONTADO
RYG-BOB-0014;BOBINA DE ENCENDIDO;DAIHATSU;KD-9601;130;4;0;0;4;NO CONTADO
RYG-BOB-0015;BOBINA DE ENCENDIDO;FORD;BK2Q-9D475-CB;130;2;0;0;2;NO CONTADO
RYG-BOB-0016;BOBINA DE ENCENDIDO;GELLY - CHANGAN;WL03-0004/CA-4031;130;2;1;1;2;NO CONTADO
RYG-BOB-0017;BOBINA DE ENCENDIDO;GREAT WALL;WL03-0045/ F01R00A013;130;4;0;0;4;NO CONTADO
RYG-BOB-0018;BOBINA DE ENCENDIDO;HONDA PILOT CIVIC 1.7;1019-00072;130;6;0;0;6;NO CONTADO
RYG-BOB-0019;BOBINA DE ENCENDIDO;HYUNDAI - KIA 2015;KD-8031A/ 27301-23700;180;1;1;0;2;NO CONTADO
RYG-BOB-0020;BOBINA DE ENCENDIDO;HYUNDAI ACCENT;WL03-0251/ 27301-02600;180;1;2;1;2;NO CONTADO
RYG-BOB-0021;BOBINA DE ENCENDIDO;HYUNDAI ACCENT;27301-26640;130;4;0;0;4;NO CONTADO
RYG-BOB-0022;BOBINA DE ENCENDIDO;HYUNDAI ACCENT SONATA;CA.3406;130;4;0;0;4;NO CONTADO
RYG-BOB-0023;BOBINA DE ENCENDIDO;HYUNDAI STA FE, KIA OPTIMA;27301-3E400;130;2;0;1;1;NO CONTADO
RYG-BOB-0024;BOBINA DE ENCENDIDO;HYUNDAI STA FE, KIA OPTIMA (ALTERNATIVO);27301-3E400;90;4;0;0;4;NO CONTADO
RYG-BOB-0025;BOBINA DE ENCENDIDO;JAC REFINE;WL03-0026/1026102GAA;130;6;0;0;6;NO CONTADO
RYG-BOB-0026;BOBINA DE ENCENDIDO;JAC REFINE MODERNO;F01R00A066;130;12;0;0;12;NO CONTADO
RYG-BOB-0027;BOBINA DE ENCENDIDO;KIA PICANTO MODERNO;27301-04110;130;7;0;2;5;NO CONTADO
RYG-BOB-0028;BOBINA DE ENCENDIDO;MAZDA;KD-3403;130;1;0;0;1;NO CONTADO
RYG-BOB-0029;BOBINA DE ENCENDIDO;NISSAN HR ORIGINAL;22448-ED000;130;0;0;0;0;NO CONTADO
RYG-BOB-0030;BOBINA DE ENCENDIDO;NISSAN VERSA;22448-1KT0A;130;3;0;0;3;NO CONTADO
RYG-BOB-0031;BOBINA DE ENCENDIDO;RENAULT LOGAN;IH-20083;130;2;0;1;1;NO CONTADO
RYG-BOB-0032;BOBINA DE ENCENDIDO;SONATA;27301-23400 (WL14-0051);130;5;0;0;5;NO CONTADO
RYG-BOB-0033;BOBINA DE ENCENDIDO;SONATA( ALTERNATIVO);27301-23400 (WL14-0051);90;8;0;0;8;NO CONTADO
RYG-BOB-0034;BOBINA DE ENCENDIDO;SUZUKI APV ORIGINAL;IMP-32147;150;2;0;0;2;NO CONTADO
RYG-BOB-0035;BOBINA DE ENCENDIDO;SUZUKI GRAND NOMADE;33400-65J00;130;4;0;0;4;NO CONTADO
RYG-BOB-0036;BOBINA DE ENCENDIDO;SUZUKI,ALTO,CELERIO,VITARA;WL03-0189 / KD-9123;130;14;0;0;14;NO CONTADO
RYG-BOB-0037;BOBINA DE ENCENDIDO;TOYOTA 2017;90919-T2010;130;23;0;0;23;NO CONTADO
RYG-BOB-0038;BOBINA DE ENCENDIDO;TOYOTA AVANZA ANTIGUO( HASTA 2011);KD-9119 / 19070-BZ040;130;4;0;0;4;NO CONTADO
RYG-BOB-0039;BOBINA DE ENCENDIDO;TOYOTA DISTRIBUIDOR 4E;90919-02164 (WL03-0202);130;1;2;0;3;NO CONTADO
RYG-BOB-0040;BOBINA DE ENCENDIDO;TOYOTA GDI;90919-02248;130;14;0;0;14;NO CONTADO
RYG-BOB-0041;BOBINA DE ENCENDIDO;TOYOTA RAV4 - ORIGINAL;90919-02244;130;5;0;0;5;NO CONTADO
RYG-BOB-0042;BOBINA DE ENCENDIDO;CHEVROLET CRUZE;96476979;420;2;0;0;2;NO CONTADO
RYG-BOB-0043;BOBINA DE ENCENDIDO;MAZDA 3;9120A;130;7;0;0;7;NO CONTADO
RYG-BOB-0044;BOBINA DE ENCENDIDO;MITSUBISHI JAC J6 ( CAÑA CORTA);IMP-32176/F01R00A012;130;9;0;0;9;NO CONTADO
RYG-BOB-0045;BOBINA DE ENCENDIDO;NISSAN QG;22448-6N015;130;1;6;4;3;NO CONTADO
RYG-BOB-0046;BOBINA DE ENCENDIDO;TOYOTA YARIS (ALTERNATIVA);BN-40031-02240;130;8;0;3;5;NO CONTADO
RYG-BOB-0047;BOBINA DE ENCENDIDO;CHEVROLET N300;F01R00A027;130;4;0;2;2;NO CONTADO
RYG-BOB-0048;BOBINA DE ENCENDIDO;JAC J2,J3,S3;03-0138A / 102669066020 / F01R00A047;130;5;0;0;5;NO CONTADO
RYG-BOB-0049;BOBINA DE ENCENDIDO;TOYOTA PROBOX ORIGINAL;90919-02240;130;7;0;2;5;NO CONTADO
RYG-BOB-0050;BOBINA DE ENCENDIDO;CHANGAN, HAFEI, JUNYI (ANTIGUA);WL03-0173 /F01R00A028/A045/DQG1217;130;3;0;2;1;NO CONTADO
RYG-BOB-0051;BOBINA DE ENCENDIDO;BYD ORIGINAL QB;3705100/fk0398473;130;4;0;4;0;CONTADO
RYG-BOB-0052;BOBINA DE ENCENDIDO;KIA;27301-2B010;130;2;20;10;12;NO CONTADO
RYG-BOB-0053;BOBINA DE ENCENDIDO;MAZDA 3,6/ CX7;12A366;130;2;0;0;2;NO CONTADO
RYG-BOB-0054;BOBINA DE ENCENDIDO;NISSAN GA;KD-3404;130;2;0;0;2;NO CONTADO
RYG-BOB-0055;BOBINA DE ENCENDIDO;CHANGAN, HAFEI, JUNYI (MODERNO);WL03-0173 /F01R00A028/A045/DQG1217;130;9;3;3;9;NO CONTADO
RYG-BOB-0056;BOBINA DE ENCENDIDO;HAIMA;IMP-32123;0;2;0;0;2;NO CONTADO
RYG-BOB-0057;BOBINA DE ENCENDIDO;TOYOTA 2017 ORIGINAL;90919-T2010;130;0;10;10;0;NO CONTADO
RYG-BOB-0058;BOBINA DE ENCENDIDO;LIFAN;19005270;130;0;2;0;2;NO CONTADO
RYG-BOB-0059;BOBINA DE ENCENDIDO;JETOUR;F01R00A092;130;0;4;1;3;NO CONTADO
RYG-BOB-0060;BOBINA DE ENCENDIDO;TUCSON;27301-2M417;130;0;8;0;8;NO CONTADO
RYG-BOB-0061;BOBINA DE ENCENDIDO;DONGFENG 2025;28264038;130;0;0;0;0;NO CONTADO
RYG-BOB-0062;BOBINA DE ENCENDIDO;RENAULT;8200568671;130;0;8;0;8;NO CONTADO
RYG-BOB-0063;BOBINA DE ENCENDIDO;HOMDA CIVIC;30520-RNA-A01;130;0;0;0;0;NO CONTADO
RYG-BOB-0064;BOBINA DE ENCENDIDO 3 CILINDRO 4 PIN;CHEVROLET;96291054;130;1;0;0;1;NO CONTADO
RYG-BOB-0065;BOBINA DE ENCENDIDO AMAPART;SUZUKI;33410-51K60 // JH10761-0405;130;15;0;3;12;NO CONTADO
RYG-BOB-0066;BOBINA DE ENCENDIDO BOSCH;DONGFEN CAPTAIN;F01R00A052;130;16;0;0;16;NO CONTADO
RYG-BOB-0067;BOBINA DE ENCENDIDO CADIC;CHEVROLET SPAR 4 CILINDROS (4 PINES);KD-8004- 0013;130;11;0;0;11;NO CONTADO
RYG-BOB-0068;BOBINA DE ENCENDIDO CADIC;ESTÁNDAR;KD-9007;130;2;0;0;2;NO CONTADO
RYG-BOB-0069;BOBINA DE ENCENDIDO CADIC;HYUNDAY;KD-8032D / 27301-26600;350;2;1;1;2;NO CONTADO
RYG-BOB-0070;BOBINA DE ENCENDIDO CADIC;KIA SORRENTO / HYUNDAY;KD-9020-3C000;130;7;0;0;7;NO CONTADO
RYG-BOB-0071;BOBINA DE ENCENDIDO CADIC;CHEVROLET SPAR 4 CILINDROS(3 PINES);WL13-0014;130;3;0;1;2;NO CONTADO
RYG-BOB-0072;BOBINA DE ENCENDIDO COROLON;TOYOTA COROLLA;90919-02258;130;13;0;1;12;NO CONTADO
RYG-BOB-0073;BOBINA DE ENCENDIDO DONG AUTOMOTRIZ;KIA;27301-2B010 ALT;90;59;0;6;53;NO CONTADO
RYG-BOB-0074;BOBINA DE ENCENDIDO GENUINE PART;CHEVROLET SAIL ANTIGUO;9023781 // WL03-0090;130;5;0;1;4;NO CONTADO
RYG-BOB-0075;BOBINA DE ENCENDIDO GENUINE PART;HYUNDAY;27301-03200 (0357);130;15;4;7;12;NO CONTADO
RYG-BOB-0076;BOBINA DE ENCENDIDO GENUINE PART;HYUNDAY(ALTERNATIVO);27301-03200 (0357);90;10;0;0;10;NO CONTADO
RYG-BOB-0077;BOBINA DE ENCENDIDO GENUINE PART;KIA PICANTO ANTIGUO;27301-04000;130;15;0;1;14;NO CONTADO
RYG-BOB-0078;BOBINA DE ENCENDIDO HYUNDAY;OPTIMA / SONATA;27301-03150;130;11;0;3;8;NO CONTADO
RYG-BOB-0079;BOBINA DE ENCENDIDO HYUNDAY;OPTIMA / SONATA(ALTERNATIVO);27301-03150;90;5;0;0;5;NO CONTADO
RYG-BOB-0080;BOBINA DE ENCENDIDO MOBIC;HYUNDAY - STA FE - SONATA;27300-3F100 / KD-9020A;130;13;0;3;10;NO CONTADO
RYG-BOB-0081;BOBINA DE ENCENDIDO MOBIC;HYUNDAY / KIA;27301-2E000;130;4;5;1;8;NO CONTADO
RYG-BOB-0082;BOBINA DE ENCENDIDO MOBIC;HYUNDAY / KIA (ALTERNATIVO);27301-2E000;90;9;0;0;9;NO CONTADO
RYG-BOB-0083;BOBINA DE ENCENDIDO SARUBA;CHEVROLET AVEO / CHEVI / SUZUKI;S/N;130;4;0;0;4;NO CONTADO
RYG-BOB-0084;BOBINA DE ENCENDIDO SARUBA;SUZUKI CELERIO;SB03-0142/DQG3113M;130;7;0;1;6;NO CONTADO
RYG-BOB-0085;BOBINA DE ENCENDIDO SARUBA;DON FEN;WL03-0074/DQG3117X/28244734;130;38;0;6;32;NO CONTADO
RYG-BOB-0086;BOBINA DE ENCENDIDO TOYOTA;TOYOTA WISH;90919-02239;130;11;0;0;11;NO CONTADO
RYG-BOB-0087;BOBINA DE ENCENDIDO WEILI;BYD;WL03-0041;130;2;0;0;2;NO CONTADO
RYG-BOB-0088;BOBINA DE ENCENDIDO WEILI;KIA CARENS;WL03-0067 -22373 / CA-3411;130;10;0;0;10;NO CONTADO
RYG-BOB-0089;BOBINA DE ENCENDIDO WEILI;SUZUKI APV/ CHANGAN;WL03-0011;130;7;0;0;7;NO CONTADO
RYG-BOB-0090;BOBINA DE ENCENDIDO WEILI;FAW;WL03-0085/3603040-28K;130;10;0;0;10;NO CONTADO
RYG-BOB-0091;BOBINA DE IMPORTACION;NISSAN HR;IMPORTACION;130;4;0;0;4;NO CONTADO
RYG-BOB-0092;BOBINA DE IMPORTACION;TOYOTA 4E;IMPORTACION;130;8;0;0;8;NO CONTADO
RYG-BOB-0093;BOBINA DE IMPORTACION;TOYOTA PROBOX/YARIS;IMPORTACION;130;18;0;3;15;NO CONTADO
RYG-BOB-0094;BOBINA DE IMPORTACION;TOYOTA RAV4;IMPORTACION;130;3;0;0;3;NO CONTADO
RYG-BOB-0095;BOBINA DE IMPORTACION;TOYOTA WISH;IMPORTACION;130;3;0;0;3;NO CONTADO
RYG-BOB-0096;BOBINA DE REDUCTOR;OBM;S/N;90;32;0;6;26;NO CONTADO
RYG-BOB-0097;BOBINA DE REDUCTOR;TOMASETTO;CON CONECTOR;90;2;33;19;16;NO CONTADO
RYG-BOB-0098;BOBINA DE REDUCTOR;TOMASETTO;CON TERMINAL;90;5;20;19;6;NO CONTADO
