Placa;Fecha;Hora;Servicio;Responsable;Observaciones
B5Q-306;18/08/2026;8:30 a.m.;Mantenimiento general + filtro de gas;Kelly;—
ALI-052;18/08/2026;8:30 a.m.;Instalación 5ta GNV FISE;Cristhel;—
BBL-219;18/08/2026;8:30 a.m.;Revisión de válvula de tanque;Kelly;—
M5M-171;18/08/2026;9:30 a.m.;Mantenimiento general + filtro de gas;Kelly;—
C9M-187;18/08/2026;11:00 a.m.;Activación de chip;Kelly;—
AUH-440;18/08/2026;11:20 a.m.;Revisión;Kelly;—
H2W-236;18/08/2026;2:00 p.m.;Mantenimiento general + filtro de gas;Kelly;Inicialmente programada a las 11:30 a.m.
H2L-659;18/08/2026;2:15 p.m.;Mantenimiento general + filtro de gas;Kelly;Inicialmente programada a las 8:30 a.m.
BXD-127;19/08/2026;8:30 a.m.;Mantenimiento general + filtro de gas;Kelly;—
C4T-441;19/08/2026;2:15 p.m.;Prueba quinquenal;Cristhel;El mensaje no indica número de día
ADR-545;19/08/2026;2:15 p.m.;Mantenimiento general;Cristhel;—
BAG-123;21/08/2026;8:30 a.m.;Revisión técnica;Cristhel;
H2P-166;21/08/2026;8:30 a.m.;Mantenimiento general + filtro de gas;Kelly;—
T2V-669;21/08/2026;8:30 a.m.;Mantenimiento general + filtro de gas;Kelly;—
F00-071;24/08/2026;8:30 a.m.;Instalación GLP;Cristhel;—
